Schuljahr,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulformschlüssel,Schulform,Schulnummer,Kurzbezeichnung der Schule,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Rechtsstatus,Straße und Hausnummer,Postleitzahl,Ort,Homepage,Amtlicher Gemeinde-schlüssel,"Verwaltungsbezirk
(Haupt- und Nebensitz der Schule)",Art der Adresse,Anzahl,Sozialindex,latitude,longitude,found_address
2024/25,5762004,"Bad Driburg, Stadt",20,Gymnasium,169080,"Bad Driburg, Gym St. Kaspar",Gymnasium St. Kaspar,Priv. Gymnasium,,Privat,Paderborner Str. 24,33014,Bad Driburg,http://www.st-kaspar.de,5762004,"Bad Driburg, Stadt",Hauptsitz,420,,51.6759388,8.997135,"Gymnasium St. Kaspar, 24, Paderborner Straße, Feriendorf, Neuenheerse, Bad Driburg, Kreis Höxter, Nordrhein-Westfalen, 33014, Deutschland"
2024/25,5762008,"Beverungen, Stadt",2,Grundschule,125969,"Beverungen, GG (Verb.)d.Stadt Beverungen",Grundschulverbund der Stadt Beverungen,Gemeinschaftsgrundschule,- Primarstufe -,Öffentlich,Hellweg 13,37688,Beverungen,https://grundschulverbund-beverungen.de,5762008,"Beverungen, Stadt",Nebensitz,140,3,51.6297151,9.292857,"13, Hellweg, Dalhausen, Beverungen, Kreis Höxter, Nordrhein-Westfalen, 37688, Deutschland"
2024/25,5762008,"Beverungen, Stadt",14,Sekundarschule,198547,"Beverungen, SK im Dreiländereck",Sekundarschule im Dreiländereck,der Stadt Beverungen,- Sekundarstufe I -,Öffentlich,Birkenstr. 2,37688,Beverungen,http://www.sekschube.de,5762008,"Beverungen, Stadt",Hauptsitz,485,3,51.6656247,9.3671921,"Sekundarschule im Drei-Länder-Eck, 2, Birkenstraße, Beverungen, Kreis Höxter, Nordrhein-Westfalen, 37688, Deutschland"
2024/25,5762008,"Beverungen, Stadt",20,Gymnasium,184652,"Beverungen, Gym Birkenstraße",Städt. Gymnasium,für Jungen und Mädchen,,Öffentlich,Birkenstr. 5,37688,Beverungen,http://www.gymbev.de,5762008,"Beverungen, Stadt",Hauptsitz,430,2,51.6663324,9.3683377,"Städt. Gymnasium Beverungen, 5, Birkenstraße, Beverungen, Kreis Höxter, Nordrhein-Westfalen, 37688, Deutschland"
2024/25,5762012,"Borgentreich, Stadt",2,Grundschule,127759,"Borgentreich, KG Platz der Stadt Rue",Kath. Grundschule Borgentreich,,,Öffentlich,Platz der Stadt Rue 2,34434,Borgentreich,https://grundschule.borgentreich.de/,5762012,"Borgentreich, Stadt",Hauptsitz,305,1,51.5714047,9.2353427,"2, Platz der Stadt Rue, Borgentreich, Kreis Höxter, Nordrhein-Westfalen, 34434, Deutschland"
2024/25,5762016,"Brakel, Stadt",2,Grundschule,199989,"Brakel, GG Brakel",Städt. Gemeinschaftsgrundschule Brakel,- Primarstufe -,,Öffentlich,Angerlinde 1,33034,Brakel,https://www.grundschulebrakel.de/,5762016,"Brakel, Stadt",Nebensitz,90,2,51.7058723,9.238046,"1, Angerlinde, Hembsen, Brakel, Kreis Höxter, Nordrhein-Westfalen, 33034, Deutschland"
2024/25,5762016,"Brakel, Stadt",10,Realschule,196496,"Brakel, RS Brede",Realschule Brede  - Sekundarstufe I -,Schule in freier Trägerschaft,der Stiftung Schulen der Brede,Privat,Bredenweg 7,33034,Brakel,https://www.schulen-der-brede.de/,5762016,"Brakel, Stadt",Hauptsitz,260,,51.7202896,9.1797575,"Schulen der Brede, 7, Bredenweg, Brakel, Kreis Höxter, Nordrhein-Westfalen, 33034, Deutschland"
2024/25,5762016,"Brakel, Stadt",15,Gesamtschule,197890,"Brakel, GE Am Bahndamm",Städtische Gesamtschule Brakel,- Sekundarstufen I und II -,,Öffentlich,Am Bahndamm 30-34,33034,Brakel,http://www.gesamtschule-brakel.de/,5762016,"Brakel, Stadt",Hauptsitz,880,2,51.7125716,9.1830699,"Am Bahndamm, Brakel, Kreis Höxter, Nordrhein-Westfalen, 33034, Deutschland"
2024/25,5762016,"Brakel, Stadt",20,Gymnasium,168828,"Brakel, Gym Brede",Gymnasium Brede,Staatl. genehmigtes Gymnasium,für Jungen und Mädchen,Privat,Bredenweg 7,33034,Brakel,http://www.brede-brakel.de,5762016,"Brakel, Stadt",Hauptsitz,805,,51.7202896,9.1797575,"Schulen der Brede, 7, Bredenweg, Brakel, Kreis Höxter, Nordrhein-Westfalen, 33034, Deutschland"
2024/25,5762020,"Höxter, Stadt",2,Grundschule,126123,"Höxter, KG Lüchtringen",Kath. Grundschule Lüchtringen,der Stadt Höxter,,Öffentlich,Lambertweg 18,37671,Höxter,http://www.kgs-luechtringen.de,5762020,"Höxter, Stadt",Hauptsitz,110,2,51.7917553,9.4219003,"18, Lambertweg, Lüchtringen, Höxter, Kreis Höxter, Nordrhein-Westfalen, 37671, Deutschland"
